Jan  1 00:00:01 syslogd started: BusyBox v1.27.2
Jan  1 00:00:01 kernel: klogd started: BusyBox v1.27.2 (2021-06-26 00:12:45 UTC)
Jan  1 00:00:01 kernel: [    0.153387] Initialise system trusted keyrings
Jan  1 00:00:01 kernel: [    0.153517] workingset: timestamp_bits=62 max_order=15 bucket_order=0
Jan  1 00:00:01 kernel: [    0.153953] romfs: ROMFS MTD (C) 2007 Red Hat, Inc.
Jan  1 00:00:01 kernel: [    0.162669] Key type asymmetric registered
Jan  1 00:00:01 kernel: [    0.162679] Asymmetric key parser 'x509' registered
Jan  1 00:00:01 kernel: [    0.162725] Block layer SCSI generic (bsg) driver version 0.4 loaded (major 247)
Jan  1 00:00:01 kernel: [    0.162736] io scheduler noop registered
Jan  1 00:00:01 kernel: [    0.162744] io scheduler deadline registered
Jan  1 00:00:01 kernel: [    0.162775] io scheduler cfq registered (default)
Jan  1 00:00:01 kernel: [    0.162785] io scheduler mq-deadline registered
Jan  1 00:00:01 kernel: [    0.162793] io scheduler kyber registered
Jan  1 00:00:01 kernel: [    0.165523] Serial: 8250/16550 driver, 4 ports, IRQ sharing disabled
Jan  1 00:00:01 kernel: [    0.166745] mlb-usio-uart e700010.usio_uart: rx dma alloc failed
Jan  1 00:00:01 kernel: [    0.166756] mlb-usio-uart e700010.usio_uart: interrupt mode used for rx (no dma)
Jan  1 00:00:01 kernel: [    0.166768] mlb-usio-uart e700010.usio_uart: tx dma alloc failed or no properties
Jan  1 00:00:01 kernel: [    0.166778] mlb-usio-uart e700010.usio_uart: interrupt mode used for tx (no dma)
Jan  1 00:00:01 kernel: [    0.166796] e700010.usio_uart: ttyUSI1 at MMIO 0xe700010 (irq = 7, base_baud = 12500000) is a mlb-usio-uart
Jan  1 00:00:01 kernel: [    0.167057] mlb-usio-uart e700030.usio_uart: rx dma alloc failed
Jan  1 00:00:01 kernel: [    0.167068] mlb-usio-uart e700030.usio_uart: interrupt mode used for rx (no dma)
Jan  1 00:00:01 kernel: [    0.167079] mlb-usio-uart e700030.usio_uart: tx dma alloc failed or no properties
Jan  1 00:00:01 kernel: [    0.167088] mlb-usio-uart e700030.usio_uart: interrupt mode used for tx (no dma)
Jan  1 00:00:01 kernel: [    0.167102] e700030.usio_uart: ttyUSI3 at MMIO 0xe700030 (irq = 9, base_baud = 12500000) is a mlb-usio-uart
Jan  1 00:00:01 kernel: [    0.759913] console [ttyUSI3] enabled
Jan  1 00:00:01 kernel: [    0.764235] cacheinfo: Unable to detect cache hierarchy for CPU 0
Jan  1 00:00:01 kernel: [    0.776772] brd: module loaded
Jan  1 00:00:01 kernel: [    0.781489] loop: module loaded
Jan  1 00:00:01 kernel: [    0.788996] sni_ipcu_mb_init:226 [ERROR] request_irq ACK is failed. ret=-22 IRQ=0 devname=[]
Jan  1 00:00:01 kernel: [    0.797290] vblk_ipcu_init:251 Cannot init send ipcu channel. -retry probe-
Jan  1 00:00:01 kernel: [    0.804975] libphy: Fixed MDIO Bus: probed
Jan  1 00:00:01 kernel: [    0.809127] tun: Universal TUN/TAP device driver, 1.6
Jan  1 00:00:01 kernel: [    0.814711] usbcore: registered new interface driver usb-storage
Jan  1 00:00:01 kernel: [    0.820609] i2c /dev entries driver
Jan  1 00:00:01 kernel: [    0.824108] usbcore: registered new interface driver uvcvideo
Jan  1 00:00:01 kernel: [    0.829757] USB Video Class driver (1.1.1)
Jan  1 00:00:01 kernel: [    0.834044] sdhci: Secure Digital Host Controller Interface driver
Jan  1 00:00:01 kernel: [    0.840088] sdhci: Copyright(c) Pierre Ossman
Jan  1 00:00:01 kernel: [    0.844776] mmc0 : caps=0x25e9c8b2, caps1=0x2003
Jan  1 00:00:01 kernel: [    0.849250] sdhci-milbeaut 19830000.mmc0: Looking up vmmc-supply from device tree
Jan  1 00:00:01 kernel: [    0.849265] sdhci-milbeaut 19830000.mmc0: Looking up vmmc-supply property in node /soc/exs_32bus/mmc0@19830000 failed
Jan  1 00:00:01 kernel: [    0.849282] sdhci-milbeaut 19830000.mmc0: Looking up vqmmc-supply from device tree
Jan  1 00:00:01 kernel: [    0.849293] sdhci-milbeaut 19830000.mmc0: Looking up vqmmc-supply property in node /soc/exs_32bus/mmc0@19830000 failed
Jan  1 00:00:01 kernel: [    1.002256] mmc0: SDHCI controller on f_sdh30 [19830000.mmc0] using ADMA
Jan  1 00:00:01 kernel: [    1.014415] sdhci-pltfm: SDHCI platform and OF driver helper
Jan  1 00:00:01 kernel: [    1.026478] usbcore: registered new interface driver usbhid
Jan  1 00:00:01 kernel: [    1.038251] usbhid: USB HID core driver
Jan  1 00:00:01 kernel: [    1.041914] exFAT: Version 1.3.0
Jan  1 00:00:01 kernel: [    1.054775] sni-ipcu-driver c853000.snrtos2: sni_ipcu_drv_probe:304 No RTOS channel i/f provided
Jan  1 00:00:01 kernel: [    1.070261] sni-ipcu-driver: probe of c853000.snrtos2 failed with error -22
Jan  1 00:00:01 kernel: [    1.088343] sni-dsp-peri-driver 1d000000.xm6_peri: failed to request dma-controller
Jan  1 00:00:01 kernel: [    1.103073] xt_time: kernel timezone is -0000
Jan  1 00:00:01 kernel: [    1.114697] NET: Registered protocol family 10
Jan  1 00:00:01 kernel: [    1.128361] Segment Routing with IPv6
Jan  1 00:00:01 kernel: [    1.134359] NET: Registered protocol family 17
Jan  1 00:00:01 kernel: [    1.142260] tipc: Activated (version 2.0.0)
Jan  1 00:00:01 kernel: [    1.150311] NET: Registered protocol family 30
Jan  1 00:00:01 kernel: [    1.158378] tipc: Started in single node mode
Jan  1 00:00:01 kernel: [    1.170850] registered taskstats version 1
Jan  1 00:00:01 kernel: [    1.178254] Loading compiled-in X.509 certificates
Jan  1 00:00:01 kernel: [    1.194332] Key type encrypted registered
Jan  1 00:00:01 kernel: [    1.247317] cfg80211: Loading compiled-in X.509 certificates for regulatory database
Jan  1 00:00:01 kernel: [    1.256793] cfg80211: Loaded X.509 cert 'sforshee: 00b28ddf47aef9cea7'
Jan  1 00:00:01 kernel: [    1.290602] EXT4-fs (ipcublk): mounted filesystem with ordered data mode. Opts: (null)
Jan  1 00:00:01 kernel: [    1.306284] VFS: Mounted root (ext4 filesystem) readonly on device 254:0.
Jan  1 00:00:01 kernel: [    1.314309] platform regulatory.0: Direct firmware load for regulatory.db failed with error -2
Jan  1 00:00:01 kernel: [    1.322829] cfg80211: failed to load regulatory.db
Jan  1 00:00:01 kernel: [    1.333697] devtmpfs: mounted
Jan  1 00:00:01 kernel: [    1.337481] Freeing unused kernel memory: 1984K
Jan  1 00:00:01 kernel: [    1.350384] Run /sbin/finit as init process
Jan  1 00:00:01 kernel: [    1.369793] random: fast init done
Jan  1 00:00:01 kernel: [    1.441534] mmc0: queuing unknown CIS tuple 0x01 (3 bytes)
Jan  1 00:00:01 kernel: [    1.454225] mmc0: queuing unknown CIS tuple 0x1a (5 bytes)
Jan  1 00:00:01 kernel: [    1.462824] mmc0: queuing unknown CIS tuple 0x1b (8 bytes)
Jan  1 00:00:01 kernel: [    1.468844] mmc0: queuing unknown CIS tuple 0x14 (0 bytes)
Jan  1 00:00:01 kernel: [    1.567687] udevd[76]: starting version 3.2.5
Jan  1 00:00:01 kernel: [    1.574706] random: dbus-daemon: uninitialized urandom read (12 bytes read)
Jan  1 00:00:01 kernel: [    1.599708] random: udevd: uninitialized urandom read (16 bytes read)
Jan  1 00:00:01 kernel: [    1.608345] mmc0: queuing unknown CIS tuple 0x80 (1 bytes)
Jan  1 00:00:01 kernel: [    1.613989] mmc0: queuing unknown CIS tuple 0x81 (1 bytes)
Jan  1 00:00:01 kernel: [    1.619810] mmc0: queuing unknown CIS tuple 0x82 (1 bytes)
Jan  1 00:00:01 kernel: [    1.625247] mmc0: new high speed SDIO card at address 0001
Jan  1 00:00:01 kernel: [    1.631386] random: udevd: uninitialized urandom read (16 bytes read)
Jan  1 00:00:01 kernel: [    1.668974] udevd[76]: starting eudev-3.2.5
Jan  1 00:00:01 root: Starting babyblue...
Jan  1 00:00:01 babyblue: Starting babyblue daemon
Jan  1 00:00:01 babyblue: daemonize: setrlimit ret=0
Jan  1 00:00:01 babyblue: WARNING: unexpected file descriptors 0 3 4
Jan  1 00:00:01 babyblue: load_config: parsed camera model=0x39
Jan  1 00:00:01 babyblue: load_config: boardname_revision:Kongs MP
Jan  1 00:00:01 babyblue: load_config: Load default rampatch
Jan  1 00:00:01 babyblue: mac_address: XXXXXXXXXXXX
Jan  1 00:00:01 babyblue: serial_number: C34XXXXXXXXXXX
Jan  1 00:00:01 babyblue: hardware_revision: 0x05
Jan  1 00:00:01 babyblue: software_version: 0.5.0.0
Jan  1 00:00:01 babyblue: babyblue bin compiled on Aug  4 2021 00:48:40
Jan  1 00:00:01 babyblue: BLE GATT API Version: 0.93
Jan  1 00:00:01 babyblue: Enable new advertisement format (g_Enable_Non_Conn_Adv): 1
Jan  1 00:00:01 babyblue: using /to_bbl
Jan  1 00:00:01 babyblue: babyblue_cli_open success
Jan  1 00:00:01 babyblue: entering the state machine with initial cntrl event: 0
Jan  1 00:00:01 babyblue: start_bt: called
Jan  1 00:00:01 gpChpIpc: [            main: 309] Start gpChpIpc daemon
Jan  1 00:00:01 gpChpTestChannel: gpIpcInit: ERROR sending message to RTOS on test_channel err=No such file or directory
Jan  1 00:00:01 gpCamApi: [I][BOOT]          main() - Starting gpCamApi daemon 
Jan  1 00:00:01 gpCamApi: [I][INIT]          main() - gpCamApi internal mailboxes created. (BLE in Linux)
Jan  1 00:00:01 gpNet: [I][BOOT]             main() - Starting gpNet daemon 
Jan  1 00:00:01 gpNet: [I][GNET]             main() - version 6.0.0.0  built on Aug  4 2021 00:47:21 by  at e2c41ad
Jan  1 00:00:01 gpNet: [W][GNET]       _json_open() - CKSUM WARNING: Written by v1,2 or 3. Skipping checksum validation. "/tmp/fuse_b/mfg.json" file
Jan  1 00:00:01 gpNet: [I][GNET]         printMAC() - WIFI MAC     = XX:XX:XX:XX:XX:XX
Jan  1 00:00:01 gpNet: [I][GNET]         printMAC() - WIFI MAC(bin)= XX:XX:XX:XX:XX:XX
Jan  1 00:00:01 gpNet: [I][GNET]         printMAC() - BLUE MAC     = XX:XX:XX:XX:XX:XX
Jan  1 00:00:01 gpNet: [I][GNET]         printMAC() - CAMERA SN    = C34XXXXXXXXXXX
Jan  1 00:00:01 gpNet: [I][GNET]         printMAC() - CAMERA MODEL = 0x39
Jan  1 00:00:01 gpNet: [I][GNET]         printMAC() - BOARD NAME   = Kongs MP
Jan  1 00:00:01 gpNet: [I][GNET]         printMAC() - WIFI REGION  = 0
Jan  1 00:00:01 gpNet: [I][GNET]      validateMFG() - CSI_AP_MAC   = XX:XX:XX:XX:XX:XX
Jan  1 00:00:01 gpNet: [I][GNET]    init_MFG_feat() - initializing MFG
Jan  1 00:00:01 gpNet: [I][GNET]       _json_open() - CKSUM OK v4.1 "/tmp/fuse_b/conf.json" file
Jan  1 00:00:01 gpNet: [I][GNET] init_config_feat() - initializing config
Jan  1 00:00:01 gpNet: [I][GNET] executeResumCode() - PSMR       :   COLDBOOT POWER STATE (@ resume time=0) [0]: Set:PWR_ALL_ON then WAIT 10 MINS
Jan  1 00:00:01 gpNet: [I][GNET] executeResumCode() - PSMR       :   next_time=600 since_resume=0
Jan  1 00:00:01 gpNet: [I][GNET]  setSuspendState() -            :   setSuspendState: SS_OFF
Jan  1 00:00:01 gpNet: [I][GNET] nonSRresume_read() -             nonSR: v1,HR=3,TOLS=2016/01/01-03:19:55,PDR=0x00,PC=35,STATUS=0x0000,WAKETIME=0,MTIMER=0,REGS=0,1,0
Jan  1 00:00:01 gpNet: [I][GNET] doCSIschedCapTGT() -            : process CSI_SCHEDULED_CAPTURE_TARGET target=1970/01/01-00:00:00 offset=8 state=SC_OFFATUS=0x0000,WAKETIME=0,MTIMER=0,REGS=0,1,0 cnt=4
Jan  1 00:00:01 gpNet: [I][GNET] init_dbg_fr_JSON() - INIT        g_debug_level=0x285420 g_debug=0x30000000
Jan  1 00:00:01 gpCamApi: [I][INIT]          main() - gpCamApi IPC mailboxes created. Entering busy loop
Jan  1 00:00:02 gpNet: [I][CSI ] gotCSIregistrati() -            :CR register 05 CSI for mbox /to_gpCtlD
Jan  1 00:00:02 gpNet: [I][GNET]         INsendCU() - /to_gpCtlD :CU Sent 5 CSI Notifications to mbox /to_gpCtlD (arglen=30)
Jan  1 00:00:02 gpNet: [I][GNET]          CAfwdYY() - _gpCtlD2   :YY NAK 0, 17, 21 instead of forwarding.
Jan  1 00:00:02 gpControlD: UTIL_LOG_ERROR:rsp_size exp/act, 2,1  @gpc_commands.cpp:585
Jan  1 00:00:02 gpNet: [I][GNET]          CAfwdYY() - _gpCtlD2   :YY NAK 0, 17, 21 instead of forwarding.
Jan  1 00:00:02 gpControlD: UTIL_LOG_ERROR:rsp_size exp/act, 2,1  @gpc_commands.cpp:610
Jan  1 00:00:02 gpNet: [I][GNET]          CAfwdYY() - _gpCtlD2   :YY NAK 0, 8, 11 instead of forwarding.
Jan  1 00:00:02 gpControlD: UTIL_LOG_ERROR:Response was null or size was bad for get1  @gpcontrol_if_server.cpp:5543
Jan  1 00:00:02 gpNet: [I][GNET]          CAfwdYY() - _gpCtlD2   :YY NAK 0, 7, 8 instead of forwarding.
Jan  1 00:00:02 gpControlD: UTIL_LOG_ERROR:Orientation[2] was already locked, default orientation will be all @gpcontrol_if_server.cpp:5448
Jan  1 00:00:02 gpBtMan: [I][BOOT]           main() - Starting gpBtMan daemon
Jan  1 00:00:02 gpBtMan: [I][BTM ] sm_timer_create() - sm_timer_create: timerfd_create returns 6.
Jan  1 00:00:02 gpBtMan: [I][BTM ]    init_sniper() - init_sniper: called. Handle=0x43b1b8
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15, 13, 16, 18, 19, 21, 20, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBtMan: [I][BTM ]        init_sm() - init_sm: sm=0x1a00e8f0, name=SN PR SM
Jan  1 00:00:02 gpBtMan: [I][BTM ] get_free_timer() - get_free_timer: give timer index=0, handle=0x43b230
Jan  1 00:00:02 gpBtMan: [I][BTM ] sm_timer_register() - sm_timer_register: Timer index=0, func=0x404cb8, sm_timeout_callback=0x404cb8
Jan  1 00:00:02 gpBtMan: [I][BTM ]  init_sn_pr_sm() - init_sn_pr_sm: init_sm OK
Jan  1 00:00:02 gpBtMan: [I][BTM ]  sm_post_event() - sm_post_event: Event=SP_PR_EVT_STARTUP_SM (0)
Jan  1 00:00:02 gpBtMan: [I][BTM ] get_bt_capabilities() - get_bt_capabilities: Send BL-1B (BT_GET_CAP) cmd to BabyBlue to get BT Capabilities
Jan  1 00:00:02 gpBtMan: [I][BTM ]   init_modules() - init_modules: called.
Jan  1 00:00:02 gpBtMan: [I][BTM ]           main() - main: sm_timer_fd=6, rxqFrGP.mqd=5
Jan  1 00:00:02 gpBtMan: [I][BTM ]  state_machine() - state_machine: Event=SP_PR_EVT_STARTUP_SM(0)
Jan  1 00:00:02 gpBtMan: [I][BTM ] request_ble_whitelist() - request_ble_whitelist: Send BL-06 cmd to BabyBlue to get BLE whitelist
Jan  1 00:00:02 gpBtMan: [I][BTM ]  state_machine() - SN PR SM:SP_ST_INIT  + SP_PR_EVT_STARTUP_SM-> sm_sn_pr_startup_sm SP_ST_INIT  
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[16, 18, 19, 21, 20] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[16, 18, 19, 21, 20, 25] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 13, 24, 16, 18, 19, 21, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 24, 16, 18, 19, 21, 20, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 13, 24, 19, 21, 20, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 13, 18, 24, 19, 21, 20, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 13, 24, 16, 18, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 13, 15, 24, 16, 18, 25] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[0] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[0] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	85, 	"values":	[1] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	85, 	"values":	[1] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[0] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[0] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[0] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[0] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[1] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	85, 	"values":	[1] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[0] } @settingsStatusMapping.cpp:578
